OBJECTID,APREC,PREC,AREA,PERIMETER,SHAPE_Length,SHAPE_Area,Arrest_Count
1,MISSION,19,699582609.2,190817.4957,0.576177418,0.00636337,8.918197
2,DEVONSHIRE,17,1346816370,175591.7029,0.534006675,0.01224887,"5.022071	"
3,FOOTHILL,16,1297384551,203717.8792,0.627754819,0.011797447,"6.670588	"
4,TOPANGA,21,909032643.8,155505.7955,0.470165251,0.008259908,"7.557047	"
5,WEST VALLEY,10,936405735.2,136316.8997,0.407795149,0.008507009,"6.455611	"
6,NORTH HOLLYWOOD,15,634601058.6,187366.2527,0.566581876,0.005764579,"8.173623	"
7,VAN NUYS,9,489694990.2,116288.3085,0.347248771,0.004448517,"10.275459	"
8,NORTHEAST,11,815602204.1,178460.7221,0.541347334,0.007404398,"5.726351	"
9,HOLLYWOOD,6,371835298.2,115808.7471,0.353721176,0.003375355,"10.879800	"
10,WEST LOS ANGELES,8,1803658584,295206.4155,0.897951385,0.016367595,"5.549053	"
11,HOLLENBECK,4,433032348.8,111317.9529,0.329096302,0.003928768,"6.317114	"
12,RAMPART,2,154395388.1,63585.30955,0.19079586,0.001400848,"9.742475	"
13,WILSHIRE,7,327067076.8,100948.3146,0.307986194,0.002967278,"4.832203	"
14,OLYMPIC,20,174418477.1,62023.56025,0.186738221,0.001582371,"7.619366	"
15,SOUTHWEST,3,343325464.5,102632.2084,0.316320603,0.003113251,10.086811
16,NEWTON,13,272376013.4,81476.92285,0.241128484,0.002469566,10.891486
17,PACIFIC,14,717612851.1,246934.3216,0.75718165,0.0065038,"13.091820	"
18,77TH STREET,12,315958992,114137.8163,0.34791617,0.002863634,"14.033389	"
19,SOUTHEAST,18,261139062,111470.9734,0.327828091,0.002365524,"9.192630	"
20,HARBOR,5,892878007.9,272451.1399,0.807720691,0.00807175,"6.102694	"
21,CENTRAL,1,136747749.7,64187.40659,0.190474016,0.00124049,"12.457429		"
